사용자명,별점 평가,별점,리뷰 평가,리뷰 내용
김준성,긍정적,8,부정,
탈퇴한 사용자,긍정적,9,부정,이러니 미야자키 하야오를 지나칠 수가 없다
다크,긍정적,10,부정,
돼지고기사랑,긍정적,9,부정,그냥 동물 들 자연 은 안 다쳤으면 한다는
대마왕,긍정적,7,부정,
gjiwreopfkpoajgrekFpoasejtoige,긍정적,8,부정,
taURen,긍정적,7,부정,
물에빠진물고기,긍정적,9,부정,지구 엔 인간 보다 훨씬 더 많은 곤충 들 이 먼저 있었다 인간 의 이기 로 자기 의지 와는 상관 없이 대량 살상 된 곤충 그럼 그 보다 더 많은 숫자 로 인간 을 위협 했다 인간 이 먹는 농작물 을 습격 하고 악성 바이러스 로 공포 에 떨게 했다 자연 을 화나게 하고 있다 인간 은 언제 까지 자연 을 향 해 불 을 내뿜으 며 폭주 할 것 인가
김찬희,긍정적,9,부정,
양연수,긍정적,10,부정,
김영규,긍정적,10,부정,감동
Cloud Nine,긍정적,10,부정,시대 를 벗어난 경이 로움
삭개오,부정적,1,부정,평점 조절 훌륭한 애니메이션 코난 의 극장판 같은 느낌
wnsghchl,긍정적,9,부정,감히 명작 이라고 할 수 있는 애니
보노보노,긍정적,9,부정,자연 을 잃으면 모든 것 을 잃는 것 이다 어리석은 인간 들 아
푸른빙산,긍정적,10,부정,이런 애니 를 볼 수 있다는게 행운 임
Andrea,긍정적,10,부정,학교 다닐 때 비됴 테잎 저화질 로 보고 도 감동 먹고 나중 에 로 보고 또 감동 먹고 최근 엔 블루레이 로 보고 다시 또 감동 먹고
YH,긍정적,10,부정,최고 보고 또 봐도 다시 생각나는 명작
이겨랏,긍정적,8,부정,재미있네요
,긍정적,10,부정,일본 에 살 때 많이 봤었는데 소장 되지 않아서 또 보구 싶다
charmdaun,긍정적,9,부정,84년 영화 로는 어마어마한 대박
서현경,긍정적,10,부정,어울려 살아간다는 것
휴면 사용자,긍정적,8,부정,리버 의 원조 오 무
양지윤,긍정적,9,부정,메시지 있는 전개 가 좋았다
휴면 사용자,긍정적,9,부정,음악 이든 책 이든 어느 분야 든 고전 명작 이 있다 애니 에서 고전 명작 이 있다면 나우시카 도 그 중 하나 다 원령공주 센과 치히로 하울 의 움직이는 성 바람 계곡 의 나우시카 이 네 작품 이 미야자키 최고 작품 이라 할 만하 다
미즈고로우,긍정적,10,부정,아직도 만 들으면 눈물 이 맺힙니 다
Tough Cookie,긍정적,8,부정,와 이 작품 이 84년 도에 만들어 졌구나 오 무가 근데 콩 벌레 처럼 생겼네
인간다움,긍정적,10,부정,미야자키 하야오 감독 작품 중 가장 사랑 함
타클라마칸,긍정적,10,부정,말 이 필요 없어요
네모,긍정적,10,부정,다시 보고 파라
나우시카,긍정적,10,부정,최고
파란하늘구름바람,긍정적,10,부정,최고
박용성,긍정적,10,부정,눈물 이 난다
GOLDENSTAR,긍정적,9,부정,오 무 들 이 촉수 로 나우시카 를 감싸다 들어주는 장면 은 압권 이다 친환경 을 외치는 요즘 더욱 이 애니 를 봐 야한다 푸른 옷 을 입고 황금 벌판 에 내려 선 자 잃어버린 대지 와의 인연 을 다시 맺어 우리 를 푸른 대지 로 인도 할 지어다
zpeed,긍정적,10,부정,말 이 필요 없는 최고 의 만화
휴면 사용자,긍정적,7,부정,일본 다운 발상
yossimom,긍정적,10,부정,말 이 필요 없는 만화
e뻔한세상,긍정적,10,부정,"이제야 보았는데 아바타 도 생각나고 원령공주 도 생각 이 남 
 자연 과 인간 상생 의 균형"
르네루소,긍정적,9,부정,미야자키 하야오는 진짜 천재 인 듯
탈퇴한 사용자,부정적,6,부정,무더기 속 커 대한 폭발 이 난무 하는 사활 속 운명 들 사실 상 이 모습 이 한국 전쟁 이전 의 모습 이라는 것 과연 무엇 이 얼 만큼 어긋난 세 상이 였던 것 일까 그야말로 황폐 함 속 지구별 이 파멸 된 듯 한 최악 의 설상가상 만 있을 뿐 과연 이 것 이 현재 지구 의 삶 의 모습 이란 것 인가
탈퇴한 사용자,긍정적,10,부정,이 걸 10 번 이나 넘게 봤는데도 정말 재밌고 또 봐도 또 봐도 진짜 명작 임 역시 미야자키 하야오는 애니메이션 의 레전드 야 정말 나우시카 캐릭터 도 잘 소화 해내고 자연 과의 소통 을 잘 표현 했네 0 점주 는 놈 들 은 다 뭐 냐 니 네 들 이 이 영화 를 제대로 보기 나 하는거냐 완전 멍청이 들 이 따로 없네 영화 를 볼꺼면 제대로 좀 봐
아이스,긍정적,10,부정,걸작 다른 수식어 가 필요 없는
탈퇴한 사용자,긍정적,10,부정,아 나우시카 최고 의 에 니 임
조나단,긍정적,10,부정,이 최고 의 명작 이 있기전에 아르 작 이라는 프랑스 의 거장 뫼비우스 질 혹은 장 지로 라는 애니메이터 가 없었다면 나올수가 없는 애니 중 하나 결국 명작 도 어떤 모티브 라는 주체 가 없으면 안된다는걸 증명 하는건 지도 장지 로라 는 거장 의 타계 1 주년 이 곧 돌아오는군요 이영화 를 다시 보며 그 분 을 기립 니 다
Hs,긍정적,10,부정,개인 적 으로 지브리스튜디오 최고 의 명작 이라 생각
호미,긍정적,10,부정,이 또한 명작 이다 어떻게 사람 머릿속 에서 이러한 이야기 를 끊임없이 창조 할수 있는지 정말 대단하고 존경 스럽다
웃공,부정적,6,부정,미래 소년 코난 이 보고싶다
임홍주,긍정적,10,부정,야
leejiwon,긍정적,10,부정,오 무 애기 미끼 로 쓴거 보고 엉엉 울었다 근데 보면서 아바타 가 생각난건 나 뿐 인가
zate,긍정적,7,부정,7
이민영,긍정적,10,부정,어떻게 저런 그래픽 이 나오는지요 영화 보다 낫습니다
붉은돼지,긍정적,10,부정,생명체 와 교감 하는 것 의 중요성
여민,긍정적,9,부정,평점 보고 너 무기 대 를 했나 뭐 84년 도임을 감안 하면 10 점 짜리
NoiZy Tribe,긍정적,10,부정,정말 말 이 필요없는 2012년 인 지금 에도 걸작 으로 남는 애니메이션
finlandmania,긍정적,10,부정,최고 의 영화
Moca Harra,긍정적,10,부정,세계 애니 역사 에 몇 안되는 대작 30 여 년 이 지나도 작품 의 완성 도 와 신선함이 더욱 물씬 느껴지는 걸작 미아 자키 하야오의 작품 중 에 최고 의 작품
하하하하,긍정적,10,부정,인류 역사상 가장 위대한 애니
지수,긍정적,10,부정,자연 과 인간 의 관계 에 대한 메시지 를 담은 걸작 애니메이션
휴면 사용자,긍정적,9,부정,미야자키 하야오를 처음 접 한 작품 번역 되지 않은 채 보아 서 옆 친구 에게 물어보면서 내용 을 파악 해야 했지만 처음 그 느낌 은
휴면 사용자,긍정적,10,부정,하야오 할배 작품 중 에 제일 무거운듯 그만큼 심오하기도 하고
휴면 사용자,긍정적,10,부정,이 걸 보고 마음 이 찡했어요
건파,긍정적,10,부정,뭔 말 이 필요해 역대 최고 의 애니메이션
gemini2x5,긍정적,10,부정,대자연 의 상냥함을 이해 하기엔 인간 의 지식 은 너무나 미천하다 자연 과 인간 사이 의 관계 를 다룬 지브리 작품 중 최고 의 걸작 이다
귀염뚱이,긍정적,10,부정,의미 를 주며 재미 감동 이 다 있는 미야자키 정말 대단한 분
휴면 사용자,긍정적,10,부정,짱
탈퇴한 사용자,긍정적,10,부정,그 디어 봤습니다 이제 25년 이 지난 영화 라고 생각 하지 못하겟음 어찌 보면 우리 의 미래 의 모습 이 아닐까 요 그리고 결국 자연 앞 에선 어쩔 수 없는 모습 을 보면서 참 많이 느꼈다는 일본 이 애니 강국 이 된건 환경 때문 이 아닐까 합니다 워낙 좋아하고 역대 관객 도 애니 작품 인 까요
Buenos_Dias,긍정적,10,부정,정말 잘만 든 영화 입니다 잘 봤네요
살라망드르,긍정적,10,부정,이 게 1984년 도 에 니 메이 션 이라니 말 도 안 돼 역시 미야자키 하야 오야
ginroti9987,긍정적,10,부정,명작 이고 일본 의 대단하다고 말 할수 밖에 없는 영화 일본 이 아니메 는 쵝오
팔공,긍정적,10,부정,하야오 할배 처럼 우리나라 도 이런 사람 좀 나타나야 할꺼데
,긍정적,10,부정,대단한 애니매이션
휴면 사용자,긍정적,10,부정,어쩔 수없이 10 점 밖에 줄수 없는 서러움 무한 점 은 주고싶네
휴면 사용자,긍정적,10,부정,정말 애니매이션 이 이렇게 대단할 수 있구나 를 느낀 작품
gaga,긍정적,10,부정,나온지 30년 이 다 되어가지만 지금 봐도 정말 재미있지
왔다리갔다리,긍정적,10,부정,그냥 말 이 필요없음 일단 보세요 첨 엔 지루해도 참으세요 그럼 신세계 가
세상은삐까번쩍꺼꾸로돈다네,긍정적,10,부정,인간 의 탐욕 과 자연 파괴 에 경종 을 울리는 히 야오 의 멋진 걸작 괴물 스런 부 해가 결국 자연 의 수호 신이었음 을 결국 거 신병 도 인간 의 병기 도 자연 앞 에선 한낱 휴지 조각 이라는 사실 나우시카 의 부활 과 자연 과의 상생 은 예수 와 부처 의 가르침 을 보는듯 하였다 일본 쓰나미 와 원 전 폭파 참 묘 하네
스티븐식칼,긍정적,9,부정,인간 은 지구 를 위해 사라져 야할 존재 일지 도
탈퇴한 사용자,긍정적,10,부정,좋다
휴면 사용자,긍정적,8,부정,분위기 에 매료 될것이다
에스힐드,긍정적,7,부정,포스 토 만 보면 별루 안 땡기는 영화 였는데 그냥 볼 만 했습니다 이건 성 인용 애니 더군요 난해하게 느껴진다고 할까 머리 를 부지런히 굴리 게 만들었던것 같습니다
kabbu,긍정적,10,부정,몇 년 전 에 봤던 영화 를 문득 보고 싶어서 다시 봤다 그런데 왜 이렇게 눈물 이 나 는 지 모르겠다 사무치는 그리움 슬픔 반가 움 헐 남자 나이 40 에 사 춘긴 가 최고 의 영화 다
휴면 사용자,긍정적,9,부정,미야자키 의 감 동작 중 하나 환경 에 대한 인간 의 개발 욕 을 다룬 수작 임
ooooo,긍정적,10,부정,이 게 84년 도 작품 이라는 게 정말 믿어지지가 않는다 몇 년 이 지나고 봐도 촌 스럽지 않을 작품
미존반오,긍정적,10,부정,지브리 작 중 가장 감동
휴면 사용자,긍정적,10,부정,기 대 이하 는 뭐 냐 진짜
타미쥬드,긍정적,10,부정,가장 아름다운 의미 가 담긴 간디 정신 의 애니 이 애니 는 진실 을 담고있다 미움 과 분노 는 언제나 세상 을 파멸 로 이끌지만 인내 와 사랑 비폭력 정신 은 모든 살 아 잇는 것 에게 감동 을 주며 세상 을 치유 한다
백종숙,긍정적,10,부정,
피터의 꿈,긍정적,10,부정,1 점 준 사람 들 중 에 페르시아 왕자 나 하녀 에 높은 점수 를 준 사람 도 있더군 모 주관 적 인 것 이지만 이건 단순히 악취미 인 듯 나우시카 가 평점 10 점 이 아니 란 게 이상할 정도 최고 의 명작
사탕,긍정적,10,부정,안 본건 줄 알았더니 예고편 보 니까 본거네 역쉬 나 대작
꿈꾸는자,긍정적,7,부정,공기 가 맑고 마스크 안 써도 된다는 현실 이 갑자기 고마워 짐 먹거리 친환경 농업 의 중요성 을 새삼 깨달음
심재흥,긍정적,10,부정,보는내내 눈 끝 에 눈물 이 고여 있다가 마지막 에 춤추는 장면 눈물 이 그냥 주루룩 쏟아지네요 정말 많은걸 생각 하게 해주는 영화 였습니다
김담,긍정적,10,부정,최 곱니다
moonmadness,긍정적,10,부정,황금 들력 에 서 있는 장면 에서 눈물 이 주루룩 정말 하야오 감독 의 전성기 라 할수 있는 영화
아이러브유베이비,긍정적,10,부정,이 세상 의 개발 지상 주의자 들 에게 꼭 보여주고 싶은 영화 완전 감동 입니다
이것저것,부정적,5,부정,음
,긍정적,10,부정,와아 정말 좋군요
고양이,긍정적,10,부정,인간 의 이기심 과 개발 의 욕망 그리고 자연 의 저항 과 희생 또한 두 세계 의 공존 과 화해 를 모색 하려는 감독 의 의도 가 처음 으로 나타난 작품
숫자놀이,긍정적,10,부정,이 걸 0 점주 고 1 점주 는 새 키 들 은 다 관심 받고 싶어하는 놈 들임 10 점 이 아니면 20 점 줘 야함
휴면 사용자,긍정적,8,부정,이건 만화책 있는데 흑백 그게 백만배 는 더 재밌어요 솔 까 아쉬운 영화
휴면 사용자,긍정적,10,부정,이 영화 보고면서 너무 울었던 것 같다 슬퍼서 울 고 안타까워서 울 고 불쌍해서 울 고 기뻐서 울 고 얼굴 이 팅팅 부어 서 큰일 났다 1000 점 만점 엔 1000 점 을 100 점 만점 의 100 점 을 주고 싶다
go_em,긍정적,10,부정,이 영화 의 겨 신병 7일 동안 세계 를 멸망 시킨 거 신병 은 핵무기 를 비교 하고 이 영화 는 핵전쟁 의 위험성 과 자연 의 소중함을 절실 히 일 깨워주고 있다
태우자,긍정적,9,부정,미야자 끼 하야오의 작품 에는 특별한 잣 대가 필요하다 기존 의 잣 대 를 들이 대면 전부 10 점 이 되므로 굳이 그 의 타 작품 과 비교 해서 이건 9 점 거대 곤충 괴물 이 사실 은 지구 를 구 하고 있었다는 부분 에서 전율 이었다
dubuzzim,긍정적,10,부정,10 대
superman12345,긍정적,10,부정,이 영화 를 본 후 아쉬웠던 점 은 끝났다는 점 하나 다
휴면 사용자,긍정적,10,부정,25년 전에 이런 애니 가 존재 했다는게 기적
윤선영,긍정적,10,부정,"정말 최고 라는 말 밖엔 정말 미야자키 하야오 작품 중 에 최고 인 것 같아요 
 너무 감동 적 이에요"
휴면 사용자,긍정적,10,부정,명작 은 시대 를 거 스리 고 아름다운 것 처럼 보고 또 봐도 가슴 깊은 곳 을 울리게 하는 최고 의 아름다운 영화 입니다
VICKY Kang,긍정적,10,부정,이 거 아직도 안 본 사람 있나요 이 시대 최고 의 걸작
lol,긍정적,10,부정,보고 또 봐도 재밋습니 다 이건 진짜 최고 라고 밖엔
갈바람,긍정적,7,부정,상상 은 끝 이 없네요
휴면 사용자,긍정적,10,부정,재미있고 감동 정 이였다
탈퇴한 사용자,긍정적,10,부정,이 게 잔인해도 전쟁 을 하는것 이 여서 괜찮아
희동이,긍정적,10,부정,우왕 이 거 보고 진짜 자연 에 대해 생각 했었던
줄리엣사랑해,긍정적,10,부정,참 가슴 이 따뜻해지는 애니메이션 이네요
탈퇴한 사용자,긍정적,10,부정,처음 으로 극장 에서 내 돈 주고 봤던 영화 어릴 적 그 감동 이 기억난다
휴면 사용자,긍정적,10,부정,이 게 십 점 만점 이 아니면 이 지상 에는 더 이상 십 점 짜리 영화 는 존재 하지 않는다
휴면 사용자,부정적,1,부정,이건 어른 들 을 위 한 옛날 향수 그리기 도 아니고 뭔
서풍휘,부정적,0,부정,재미 없음 초 개 뻥튀기
칸쵸,긍정적,10,부정,애 들 이 자꾸 팬티 를 안 입엇다 구 우겼던
우주창조,긍정적,10,부정,이 영화 는 한편 의 우화 다
오스칼,긍정적,10,부정,기 대 이상 이었다 역시 미야자키 감독 은 대단하다 마지막 장면 은 정말 감동
하늘저편,긍정적,10,부정,인간 은 지구 의 주인 이 아니다
S A T I N,긍정적,7,부정,보는내내 빠져들긴 했지만 동시 에 좀 지루하기도 어린 애 들 은 보면 전혀 이해 못 함 교훈 있는 미야자키 하야오의 대작 오 무 는 스타 쉽 트루 퍼스 에 나오는 왕건 이 괴물 이랑 닮았음
한normal,긍정적,10,부정,내 생애 최고 의 애니 랄 까 지금 까지 안 본게 후회될 정도 완벽하다고 말 해도 모 자르다
휴면 사용자,긍정적,10,부정,인류 의 자연환경 파괴 를 꼬집는 좋은 흥미 잔잔한 영화
휴면 사용자,긍정적,10,부정,"정말 재밌다는 말 보단 뭔가 를 깨닫게 해주고 너무 감동 적 이라는 말 이 나오는 작품 
 1984년 에 만들어졌다는게 믿을수가 없어요"
tteo,긍정적,10,부정,몇번 을 봐도 감동 을 주는 최고 의 애니 다
함부르거,긍정적,10,부정,나이 가 들 수록 이 작품 은 더욱 감동 으로 다가오는 듯 하다 비디오 로 보고 로 보고 영화관 에서 또 봐도 보면 볼 수록 절절 하게 느껴진다
고고양,긍정적,9,부정,정말 오래전 에 본 작품 인데 제목 만 들어도 탄성 이 나오는 애니 정말 흠잡을 데 가 없는 명작
김경연,긍정적,8,부정,경고 의 메시지 를 담고 있는듯
휴면 사용자,긍정적,9,부정,하늘 에 대한 동경 자연 으로의 회귀 예전 에 보기 도 힘들었는데
탈퇴한 사용자,긍정적,10,부정,자연 과 인간 인간 과 인간 그리고 전쟁 에 대해 서 다시 한번 생각 하게 하는 어른 이 볼 영화 다 굿굿굿
Salvatore Di Vita,긍정적,10,부정,월령 공주 가 아니라 원령공주 인데
,긍정적,9,부정,한 15년 전 자막 이 없어서 걍 일 본 판 으로 비디오 로 본 작품 감동 적 이 였고 가끔 식 일 본 오락 에서 저 괴물 을 만 나볼 수 있었당
남윤민,긍정적,8,부정,재미있었 삼
선뉴,긍정적,10,부정,재밌어요 뭔가 감동 적 이야
난다뿅,긍정적,8,부정,역시 재밌음 하지만 최고 는 아닌거 같은데 월령 공주 가 훨씬 재밌다
콘콘,긍정적,10,부정,재밌어 재밌어 오 무 짱
탈퇴한 사용자,긍정적,10,부정,재밌서요
MrSon,긍정적,9,부정,토 토로 보다는 높은 점수 를 받을 순 없지만 멋진 미야자키 하야오의 작품
붉은가을,긍정적,10,부정,모노노케히메 와 마찬가지 로 자연 파괴 의 경고 를 주는 영화
ljh,긍정적,10,부정,나우시카 한국판 만화책 7 편 다 잇지만 로 보고 싶음 곤충 조아하는 1 오 무 짱
사나,긍정적,10,부정,도올 의 논어 이야기 에 사용 된 음악 이지 요 국내 개봉 앞두고 슬그머니 음악 을 바꾼 한국 방송공사
wony,긍정적,10,부정,으헝으헝 옛날 작품 이라 감정 이 잘 안 잡힐 줄 알았는데 역시 하야오
JRR,긍정적,10,부정,멋집니다 자연 과 함께 살아갈 수 있는 인간 이 되어야겠습니다
휴면 사용자,긍정적,10,부정,자신 을 치장 한 인간 의 잔인한 껍데기 를 던지고 자연 을 몸 과 마음 으로 맞이 하 라 전설 은 현실 의 기적 이 되리
팥핑수,긍정적,10,부정,오 무 예쁘구요 넘 너무 잼히있음
휴면 사용자,부정적,0,부정,이건 뭐꼬
K2U NoWHere,긍정적,10,부정,
최종인9,긍정적,10,부정,모든 사람 의 말 이 많습니다 최고
cowboy,긍정적,10,부정,완전 재밌슴
잉,긍정적,10,부정,최고 재미 면 에서나 전하 는 메시지 면 에서나 이러니 미야자키 하야오에게 열광할수 밖에
김윤신,긍정적,10,부정,와 나우시카 대단해요
,긍정적,10,부정,희망 우정 그리고 사랑 정말 멋있는 애니메이션
괴도류팡,긍정적,10,부정,미야자키 하야오 쵝오
휴면 사용자,긍정적,10,부정,최고 의 애니메이션
레몬쿠키,긍정적,10,부정,말 이 필요없죠 최고 에요
황나현,긍정적,10,부정,"오 무가 쫌 징그러웠지만 
 영화 는 재미있었어요"
카소,긍정적,9,부정,역시 미야자키 하는 감탄 을 하게 한 애니
빅뱅Holic,긍정적,10,부정,"엄청 잼있어요 
 님들 도 한번 보세 염"
휴면 사용자,긍정적,10,부정,최고
휴면 사용자,긍정적,10,부정,감동 이에요 완전 감동
함박웃음,긍정적,10,부정,감동 과 재미 둘다
휴면 사용자,긍정적,10,부정,감동 오래된거라 던데 아닌것 같아요
내마음속비,긍정적,10,부정,재미있네요
찌부기,긍정적,10,부정,
이게뭐에요,긍정적,7,부정,
히야신스,긍정적,10,부정,"정말 감동 적 입니다 
 무한 추천"
김서준,긍정적,8,부정,
,긍정적,8,부정,"특별한 능력 을 가진 한 소녀 의 세상 구출 기 라고 조금 삐 딱하게 말 하면 그렇게 되려나 
 흥미로운 소재 를 가진 영화 가 분명하다 별다른 기대 없이 관람 에 나섰지만 
 영화 가 시작 된 지 채 5분 도 되지 않아 깊이 알고싶어 빠져드는 나를 발견 할 수 있었다 
 하나 하나 밝혀지는 정보 에 귀 도 솔깃해지고 흥미롭게 보긴 했지만 
 관람 을 마치고서 밀려오는 이 불쾌감 은 과연 무엇 일까 
 과연 무엇 이란 말이더냐"
김미슨,긍정적,10,부정,
로젠느,긍정적,7,부정,
나는 단호하게 반대한다,부정적,1,부정,신 극 작 판 의 첫 번째 작품 인 여기 에서는 구 작 과의 차이 가 거의 없어 구 작 을 얼마 전 에 본 나로 서는 화질 이 깨끗해진 거 말고는 본 걸 또 보는 셈 이라 따분했다
AbataceptIpilimumabIgG1,긍정적,9,부정,
휴면 사용자,부정적,6,부정,네 다 씹
우주0k,부정적,5,부정,역시 일본 것 은 그냥 그럭저럭 이야 그리고 누가 청소년 용 애니 아니 랄 까 봐 극장 에서 보는 건 절대 무리 절대 비 권장 하지만 다운 받아서 보는 건 괜찮음
하얀사신,긍정적,10,부정,
휴면 사용자,긍정적,8,부정,
달빛의그림자,부정적,6,부정,내 가 원하는 삶 을 사는 사람 은 드물다 기회 는 운명 처럼 다가오기도 하지만 어쩔 수 없이 받아 드리는 경우 가 있다 도망 치고 싶어도 도망칠 수 없고 피 한 다 고 해서 피 할 수도 없다 내 가 아니면 지금 의 위기 는 극복 할 수 없다 현실 에서 고통 받고 괴로워하는 사람 들 을 외면 할 것 인가 아니면 정의 를 위해 맞서 싸울 것 인가
mute,긍정적,10,부정,
이리,부정적,4,부정,화질 좋아진 서 머리
billion,긍정적,8,부정,티브이 시리즈 의 요약 이지만 앞 으로 어떤 이야기 를 이어 나갈까 궁금해 진다
wnsghchl,긍정적,7,부정,이야기 의 시작 단계 인지 라 재미 는 덜 하네요 그림 체 는 정말 좋아요
물에빠진물고기,부정적,6,부정,인류 의 멸망 은 신의 심판 일까 만약 신 이 모든 생명 을 멸 하겠다고 한다면 인간 은 어떻게 할까 앉아서 심판 의 날 만 기다릴까 아니면 신 과의 전쟁 도 불사 할까 그렇게 해서라도 살 아 남아 야 할 이 유란 게 있다면 심판 의 불 은 나 또한 집어 삼킬 것 이다 그걸 알면서도 죽으려 한다면 어리석은 걸까 그럼 살 아 남아 야 할까
Hs,부정적,4,부정,신세기 에반게리온 과 달라진 점 그것 은 전개 는 빨라지고 개연 성도 없어졌다는 것 이다 풍부했던 심리 묘사 와 모더니즘 을 연상 케 하 는 예술 적 연출 은 단순하고 화려한 메카 액션 으로 대체 되었다 안도 히데아키 감 을 잃었나
휴면 사용자,부정적,0,부정,노잼
V영화평론가V,부정적,1,부정,로봇 이 너무 촌티 나고 파 보다는 서가 낳은듯
휴면 사용자,긍정적,8,부정,안노 히데아키 의 연출 력 은 여전히 최고다 에반게리온 만의 클래시 컬 한 아름다 움 다른 건 모르겠고 연출 스타일 하나 세련되서 맘 에 든다
고양이,긍정적,8,부정,타인 에게 상처 를 줄까봐 타인 을 사랑 할 수 없는 고슴도치 뼈 속 깊숙히 고독 으로 가득 찬 소년 신지 의 정신 적 성장 을 다룬 20 세기 최고 의 애니 걸작 그러나 사도 는 왜 그토록 맹목 적 으로 공격 을 감행 하고 있나 레이 의 상처 는 또 어디 에서 기인 하고 있나 에바 를 만든 사령관 은 아들 을 이용만 하는 냉혈 인간 이란 말 인가
휴면 사용자,긍정적,9,부정,판 을 어 레인지 하 며 최대한 압축 하여 다시 볼 수 있을 정도 로 만들었다 판 을 보지 않아도 충분히 이해 가 가는 전개 신속한 흐름 등 그 자체 로만 봐도 잘 만들었다 그래도 이 걸 볼 사람 이 라면 이미 판 을 다 봤던 사람 들일 가능성 이 높다는 게 에바 의 한계 일 수도 있겠지 그래도 에바 는 에바 다
휴면 사용자,부정적,3,부정,내 가 머리 가 나쁜 건가 대체 줄거리 가 이해 가 안되 사도 가 침략 해서 지구 연합군 이 로봇 을 만들어서 대항 한다 그거 같은데 머 가 그리 비밀 이 많은데 보는내내 짜증 만 나드라그 나마 그림 체 가 이뻐서 3 점 이다 스토리 는 개나줘라
